filename,prompt
06.png,01.png 와 같은 남성이 뒷좌석에 앉아 쿠션으로 팔을 편하게 하면서 태블릿을 사용하는 모습
07.png,01.png 와 같은 남성이 뒷좌석에 앉아 쿠션으로 팔을 편하게 하면서 편하게 자는 모습
27.png,여성이 동승석에 앉아 스마트폰을 사용하면서 쿠션으로 팔을 지지하는 모습
28.jpg,여성이 동승석에 앉아 태블릿을 사용하면서 쿠션으로 팔을 지지하는 모습
29.png,여성이 동승석에 앉아 스마트폰을 사용하면서 쿠션으로 팔을 지지하는 모습
30.jpg,배 나온 둥뚱한 운전자가 운전석에서 쿠션을 사용하는 모습
31.jpg,"30.jpg 와 같은 운전자, 같은 상황, 다른 각도에서의 모습"
32.jpg,남성이 동승석에서 스마트폰을 사용할 때 쿠션으로 손과 팔을 지지하는 모습
33.jpg,"남성이 트럭 운전석에서 쿠션을 사용하는 모습, 장거리 운전이 많은 트럭에서 사용해도 좋은 쿠션의 사용 예시"
34.jpg,"33.jpg 와 같은 상황, 다른 각도"
35.jpg,여성이 소형차 운전석에서 쿠션을 사용하는 모습
36.jpg,"뒷좌석의 아이가 쿠션을 사용함으로 안정감을 주는 모습, 예기치 못한 사고에도 쿠션이 아이를 보호할 수 있을 것 같은 이미지를 주는 것도 하나의 의도가 됨"
37.jpg,"집 거실 쇼파에서 쿠션으로 팔을 지지하면서 게임기를 하는 아이 모습, 아이의 바른 자세에도 도움이 되는 이미지를 주는 것도 하나의 의도"
38.jpg,37.jpg 와 마찬가지로 집 거실 쇼파에서 쿠션으로 팔을 지지하면서 게임기를 하는 모습
39.jpg,"38.jpg 와 같은 상황, 다른 각도"
40.jpg,"직장 데스크에서 업무를 볼 때도 쿠션을 사용하는 여성의 모습, 사무실에서도 사용할 수 있다는 의도"
41.jpg,"40.jpg 와 같은 상황, 다른 각도"
42.jpg,"자동차 뒷좌석에서 아이가 쿠션을 사용하는 모습, 쿠션 앞주머니에 꽂혀 있는 휴대폰이 인상적임"
43.jpg,"42.jpg 와 같은 상황, 다른 각도"
44.jpg,"43.jpg 와 같은 상황, 아이가 쿠션을 끌어안고 잠이 든 모습, 자동차 안에서 아이에게 안정감을 줌"
45.jpg,"여성이 동승석에서 스마트폰을 사용할 때 쿠션이 팔을 지지해주는 모습, 성인에게도 바른 자세와 거북목 방지를 해준다는 이미지를 심어 줄 수 있다"
46.jpg,운전석에서 쿠션을 사용하는 모습
47.png,"CEO가 뒷좌석에서 장거리 출장중 쿠션을 사용하는 모습, 기업의 수장들이 타는 고급 승용차도 쿠션이 필요하다는 인식을 줄 수 있다"
48.jpg,"장거리 여행중 뒷좌석에서 카시트의 아기를 돌보는 엄마가 스마트폰을 사용하는 모습, 쿠션을 사용함으로 팔의 피로를 줄일 수 있다, 아기를 돌보는 엄마의 피로를 풀어줄 수 있다는 의도도 있음"
49.jpg,"48.jpg 와 같은 상황, 이번에는 독서, 스마트폰은 쿠션 앞주머니에 꽂혀 있음"
50.jpg,"48.jpg 와 같은 상황, 아이와 같이 편안하게 잠이 든 엄마의 모습, 스마트폰은 쿠션 앞주머니에 꽂혀 있음"
51.jpg,"48.jpg 와 같은 상황, 아이를 바라보는 엄마의 모습, 쿠션을 사용하는 엄마가 아이를 더욱 사랑스럽게 바라본 다는 느낌도 줄 수 있음, 스마트폰은 쿠션 앞주머니에 꽂혀 있음"
52.jpg,"51.jpg 와 같은 상황, 잠든 아기를 보며 행복한 미소를 짓는 엄마, 쿠션과 행복이 연관된 느낌을 주려는 의도"
53.jpg,"51.jpg 와 같은 상황, 잠든 아기를 보며 행복한 미소를 지으며 스마트폰을 사용하는 엄마, 쿠션과 행복이 연관된 느낌을 주려는 의도"
54.jpg,"53.jpg 와 같은 상황, 쿠션이 스마트폰 사용시 필수라는 느낌을 주려는 의도"
